Iteration,Day,Voltage,Power,Current,Wattage,Energy Usage,Daily Operating Cost,Total Wattage,Total Energy Usage,Total Daily Operating Cost
1,2,233.60,27.90,0.21,48.59,0.20,4.83,48.59,0.20,4.83
2,2,233.60,25.80,0.21,48.36,0.20,4.80,96.94,0.40,9.63
3,2,234.10,27.50,0.22,51.03,0.21,5.07,147.98,0.61,14.70
4,2,233.60,26.10,0.21,49.29,0.20,4.90,197.27,0.82,19.60
5,2,233.60,25.50,0.21,49.29,0.20,4.90,246.56,1.02,24.50
6,2,233.60,26.00,0.20,47.42,0.20,4.71,293.98,1.22,29.21
7,2,233.60,25.70,0.21,48.59,0.20,4.83,342.57,1.42,34.04
8,2,233.60,25.50,0.20,46.49,0.19,4.62,389.05,1.61,38.66
9,2,233.60,25.40,0.20,47.19,0.20,4.69,436.24,1.81,43.34
10,2,234.10,24.80,0.20,47.99,0.20,4.77,484.23,2.00,48.11
11,2,234.10,26.00,0.20,47.99,0.20,4.77,532.22,2.20,52.88
12,2,233.60,25.50,0.20,47.89,0.20,4.76,580.11,2.40,57.64
13,2,233.60,24.80,0.21,48.82,0.20,4.85,628.93,2.60,62.49
14,2,233.60,25.60,0.21,48.36,0.20,4.80,677.29,2.80,67.30
15,2,233.60,25.20,0.21,49.29,0.20,4.90,726.58,3.01,72.19
16,2,233.60,24.20,0.20,47.19,0.20,4.69,773.76,3.20,76.88
