"","Total Calculations for each day","Total Wattage","Total Energy Usage","Total Daily Operating Cost"
"","","3.38","3.38","81.21"
"","Total Calculations for each day","Total Wattage","Total Energy Usage","Total Daily Operating Cost"
"","","3.20","3.20","76.88"
"","Total Calculations for each day","Total Wattage","Total Energy Usage","Total Daily Operating Cost"
"","","2.92","2.92","69.98"
"","Total Calculations for each day","Total Wattage","Total Energy Usage","Total Daily Operating Cost"
"","","3.18","3.18","76.32"
"","Total Calculations for each day","Total Wattage","Total Energy Usage","Total Daily Operating Cost"
"","","3.10","3.10","74.43"
"","Total Calculations for each day","Total Wattage","Total Energy Usage","Total Daily Operating Cost"
"","","2.79","2.79","66.96"
"","Total Calculations for each day","Total Wattage","Total Energy Usage","Total Daily Operating Cost"
"","","2.78","2.78","66.78"
